"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.272248762E0,8.033294678E-1,1.498489380E0,9.358154297E0
3.284333723E0,8.128967285E-1,1.479339600E0,9.645462036E0
3.296418684E0,7.602233887E-1,1.462585449E0,9.959106445E0
3.308503645E0,6.907958984E-1,1.433853149E0,1.008120728E1
3.320588605E0,6.788177490E-1,1.426666260E0,9.927978516E0
3.332704084E0,7.171325684E-1,1.438629150E0,9.734054565E0
3.344789045E0,7.267150879E-1,1.448211670E0,9.678985596E0
3.356874006E0,7.913513184E-1,1.469757080E0,9.377319336E0
3.368958967E0,9.038848877E-1,1.481735229E0,9.080429077E0
3.381043928E0,8.775482178E-1,1.441024780E0,9.226486206E0
3.393128889E0,7.482604980E-1,1.366806030E0,9.626312256E0
3.405213850E0,6.548767090E-1,1.309356689E0,9.734054565E0
3.417329328E0,6.740417480E-1,1.297378540E0,9.571243286E0
3.429414289E0,7.338867188E-1,1.318923950E0,9.456329346E0
3.441499250E0,7.793731689E-1,1.378784180E0,9.576034546E0
3.453584211E0,7.937469482E-1,1.426666260E0,9.805877686E0
3.465669172E0,7.386779785E-1,1.405120850E0,9.913619995E0
3.477754133E0,6.812133789E-1,1.354843140E0,9.808273315E0
3.489839094E0,6.836090088E-1,1.328506470E0,9.657440186E0
3.501954572E0,7.434692383E-1,1.306961060E0,9.561660767E0
3.514039533E0,7.817687988E-1,1.280624390E0,9.465896606E0
3.526124494E0,7.985382080E-1,1.259063721E0,9.362945557E0
3.538209455E0,7.793731689E-1,1.218368530E0,9.334213257E0
3.550294416E0,7.362823486E-1,1.187240601E0,9.418014526E0
3.562379377E0,7.147369385E-1,1.170486450E0,9.552093506E0
3.574464338E0,7.290954590E-1,1.156112671E0,9.681381226E0
3.586579816E0,7.745971680E-1,1.163299561E0,9.791503906E0
3.598664777E0,7.937469482E-1,1.177673340E0,9.868118286E0
3.610749738E0,7.937469482E-1,1.189636230E0,9.851364136E0
3.622834699E0,7.674102783E-1,1.180068970E0,9.712509155E0
3.634919660E0,7.482604980E-1,1.172882080E0,9.537719727E0
3.647004621E0,7.434692383E-1,1.194427490E0,9.420410156E0
3.659089582E0,7.769927979E-1,1.218368530E0,9.422805786E0
3.671205061E0,7.937469482E-1,1.196823120E0,9.499420166E0
3.683290022E0,7.961425781E-1,1.160903931E0,9.554489136E0
3.695374982E0,7.961425781E-1,1.129791260E0,9.592788696E0
3.707459943E0,8.057098389E-1,1.110626221E0,9.746017456E0
3.719544904E0,7.889556885E-1,1.113021851E0,9.865737915E0
3.731629865E0,7.698059082E-1,1.120208740E0,9.851364136E0
3.743714826E0,7.506561279E-1,1.129791260E0,9.769958496E0
3.755830305E0,7.674102783E-1,1.165695190E0,9.640670776E0
3.767915266E0,7.889556885E-1,1.192031860E0,9.535324097E0
3.780000227E0,8.009338379E-1,1.182449341E0,9.480270386E0
3.792085188E0,7.961425781E-1,1.139358521E0,9.439559937E0
3.804170148E0,7.482604980E-1,1.086685181E0,9.391677856E0
3.816255109E0,7.243194580E-1,1.053176880E0,9.453933716E0
3.828370588E0,7.290954590E-1,1.029220581E0,9.664611816E0
3.840455549E0,7.338867188E-1,1.002883911E0,9.860946655E0
3.852540510E0,7.530517578E-1,9.837341309E-1,9.908828735E0
3.864625471E0,7.769927979E-1,9.909210205E-1,9.863342285E0
3.876710432E0,7.745971680E-1,9.957122803E-1,9.779541016E0
3.888795393E0,7.338867188E-1,9.957122803E-1,9.635894775E0
3.900880354E0,7.003784180E-1,9.813385010E-1,9.427597046E0
3.912995832E0,7.075500488E-1,9.693756104E-1,9.307876587E0
3.925080793E0,7.722015381E-1,9.909210205E-1,9.350982666E0
3.937165754E0,8.033294678E-1,1.005279541E0,9.485046387E0
3.949250715E0,7.985382080E-1,1.012466431E0,9.662231445E0
3.961335676E0,7.362823486E-1,9.909210205E-1,9.815460205E0
3.973420637E0,7.123413086E-1,9.861297607E-1,9.887283325E0
3.985505598E0,7.195281982E-1,9.909210205E-1,9.887283325E0
3.997590559E0,7.338867188E-1,1.002883911E0,9.839401245E0
4.009706037E0,7.267150879E-1,1.000503540E0,9.695739746E0
4.021790998E0,7.889556885E-1,1.010070801E0,9.427597046E0
4.033875959E0,8.727569580E-1,1.019653320E0,9.204925537E0
4.045960920E0,7.769927979E-1,9.645843506E-1,9.465896606E0
4.058045881E0,6.764373779E-1,8.999481201E-1,9.753204346E0
4.070130842E0,6.524810791E-1,8.568420410E-1,9.781936646E0
4.082215803E0,6.955871582E-1,8.592376709E-1,9.597579956E0
4.094331281E0,7.314910889E-1,9.143066406E-1,9.518569946E0
4.106416242E0,7.578277588E-1,9.813385010E-1,9.741226196E0
4.118501203E0,7.698059082E-1,1.012466431E0,9.951919556E0
4.130586164E0,7.195281982E-1,9.861297607E-1,9.846572876E0
4.142671125E0,6.596679688E-1,9.502258301E-1,9.688552856E0
4.154756086E0,7.003784180E-1,9.454345703E-1,9.669403076E0
4.166841047E0,7.458648682E-1,9.358520508E-1,9.599975586E0
4.178956525E0,7.602233887E-1,9.047241211E-1,9.403656006E0
4.191041486E0,7.386779785E-1,8.736114502E-1,9.245635986E0
4.203126447E0,7.243194580E-1,8.544464111E-1,9.288726807E0
4.215211408E0,7.027587891E-1,8.281097412E-1,9.516174316E0
4.227296369E0,7.099456787E-1,8.185424805E-1,9.774749756E0
4.239381330E0,7.410736084E-1,8.065643311E-1,9.971069336E0
4.251466291E0,7.674102783E-1,8.161468506E-1,9.978256226E0
