"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.299947670E0,3.190410137E-2,-5.090756714E-2,-1.180648804E-3
3.310018471E0,8.869647980E-3,-3.309732676E-2,-8.463859558E-3
3.320089272E0,-1.743316650E-3,-2.963913977E-2,-3.219890594E-2
3.330160072E0,-3.199100494E-3,-2.154698968E-2,-3.882503510E-2
3.340230873E0,-5.156993866E-3,-8.716553450E-3,-3.589439392E-2
3.350301674E0,2.193450928E-3,-2.690781653E-2,-9.369850159E-3
3.360402992E0,9.366750717E-3,-3.077059984E-2,-9.251594543E-3
3.370473793E0,2.586412430E-2,-3.245177865E-2,-6.777763367E-3
3.380544594E0,1.607549191E-2,-2.469287813E-2,5.157470703E-3
3.390615395E0,3.744113445E-2,-1.477411389E-2,3.094482422E-2
3.400686195E0,3.971707821E-2,-5.173087120E-3,3.745841980E-2
3.410756996E0,3.063404560E-2,1.126229763E-2,3.907585144E-2
3.420827797E0,-6.635189056E-3,1.344613731E-2,5.017089844E-2
3.430929115E0,-5.583763123E-4,1.555414498E-2,4.197025299E-2
3.440999916E0,3.041863441E-3,1.088470221E-3,1.737308502E-2
3.451070717E0,-1.249790192E-2,-5.987435579E-3,-4.337310791E-3
3.461141518E0,-1.132273674E-2,-8.146792650E-3,-1.148509979E-2
3.471212319E0,-1.711940765E-2,-3.065884113E-3,-2.805805206E-2
3.481283119E0,-1.366937160E-2,-5.074694753E-3,-4.188346863E-2
3.491384438E0,-1.977205276E-2,-2.309709787E-3,-3.887844086E-2
3.501455238E0,-1.393115520E-2,5.183666945E-3,-4.069042206E-2
3.511526039E0,-8.222699165E-3,1.482132077E-2,-2.356529236E-2
3.521596840E0,-9.933829308E-3,1.961095631E-2,-9.095191956E-3
3.531667641E0,-9.167194366E-5,1.019713283E-2,1.224136353E-2
3.541738442E0,2.358675003E-3,7.975980639E-3,2.545356750E-3
3.551809242E0,7.212400436E-3,-3.724038601E-3,-1.404476166E-2
3.561910561E0,9.590148926E-3,-1.972283423E-2,-4.368782043E-3
3.571981361E0,-2.651095390E-3,-1.902095973E-2,-1.831054688E-3
3.582052162E0,-2.830028534E-3,-2.563090622E-2,7.714271545E-3
3.592122963E0,4.285812378E-3,-3.459165990E-2,2.178668976E-2
3.602193764E0,6.398797035E-3,-3.163896501E-2,2.854061127E-2
3.612264565E0,1.555752754E-2,-1.945987344E-2,3.757190704E-2
3.622335365E0,1.522731781E-2,-1.462580264E-2,2.748966217E-2
3.632436684E0,5.476832390E-3,-1.463495195E-2,1.041889191E-2
3.642507485E0,5.213022232E-4,-1.222905517E-2,-1.529693604E-3
3.652578285E0,2.869129181E-3,-1.439081132E-2,-1.539230347E-3
3.662649086E0,-4.142403603E-3,-1.901017129E-2,-6.297111511E-3
3.672719887E0,-1.108920574E-2,-2.358043194E-2,1.748657227E-2
